Jan/2020,LB_GERAL,CCB07EB,CCB07EBBNA,CA,AC JANELA - 7.500 BTU'S FRIO - MECÂNICO,CONSUL,BRANCO,220V,127V-220V,A,7891129263505,84151019
Jan/2020,LB_GERAL,CCB10EB,CCB10EBANA,CA,AC JANELA - 10.000 BTU'S FRIO - MECÂNICO,CONSUL,BRANCO,127V,127V-220V,A,7891129263543,84151019
Jan/2020,LB_GERAL,CCB10EB,CCB10EBBNA,CA,AC JANELA - 10.000 BTU'S FRIO - MECÂNICO,CONSUL,BRANCO,220V,127V-220V,A,7891129263550,84151019
Jan/2020,LB_GERAL,CCB12EB,CCB12EBANA,CA,AC JANELA - 12.000 BTU'S FRIO - MECÂNICO,CONSUL,BRANCO,127V,127V-220V,B,7891129263598,84151019
Jan/2020,LB_GERAL,CCB12EB,CCB12EBBNA,CA,AC JANELA - 12.000 BTU'S FRIO - MECÂNICO,CONSUL,BRANCO,220V,127V-220V,B,7891129263604,84151019
Jan/2020,LB_GERAL,CCI18EB,CCI18EBBNA,CA,AC JANELA - 18.000 BTU'S FRIO - MECÂNICO,CONSUL,BRANCO,220V,220V,A,7891129499904,84151019
Jan/2020,LB_GERAL,CCK07AB,CCK07ABXNA,CA,AC JANELA - 7.500 BTU'S FRIO - INVERTER FRIO,CONSUL,BRANCO,BIVOLT,BIVOLT,A,7891129499386,84151019
Jan/2020,LB_GERAL,CCK10AB,CCK10ABXNA,CA,AC JANELA - 10.000 BTU'S FRIO - INVERTER FRIO,CONSUL,BRANCO,BIVOLT,BIVOLT,A,7891129499393,84151019
Jan/2020,LB_GERAL,CCN07EB,CCN07EBANA,CA,AC JANELA - 7.500 BTU'S FRIO - DIGITAL,CONSUL,BRANCO,127V,127V-220V,A,7891129263529,84151019
Jan/2020,LB_GERAL,CCN07EB,CCN07EBBNA,CA,AC JANELA - 7.500 BTU'S FRIO - DIGITAL,CONSUL,BRANCO,220V,127V-220V,A,7891129263536,84151019
Jan/2020,LB_GERAL,CCN10EB,CCN10EBANA,CA,AC JANELA - 10.000 BTU'S FRIO - DIGITAL,CONSUL,BRANCO,127V,127V-220V,A,7891129263574,84151019
Jan/2020,LB_GERAL,CCN10EB,CCN10EBBNA,CA,AC JANELA - 10.000 BTU'S FRIO - DIGITAL,CONSUL,BRANCO,220V,127V-220V,A,7891129263581,84151019
Jan/2020,LB_GERAL,CCS07EB,CCS07EBBNA,CA,"AC JANELA - 7.500 BTU'S QUENTE/FRIO - MECÂNICO ",CONSUL,BRANCO,220V,220V,A,7891129263512,84151019
Jan/2020,LB_GERAL,CCS10EB,CCS10EBBNA,CA,AC JANELA - 10.000 BTU'S QUENTE/FRIO - MECÂNICO,CONSUL,BRANCO,220V,220V,A,7891129263567,84151019
Jan/2020,LB_GERAL,C1R07AB,C1R07ABANA,CLIMATIZADOR,CLIMATIZADOR PORTATIL CONSUL BEM ESTAR - QUENTE/FRIO - BRANCO,CONSUL,BRANCO,127V,127V-220V,N/A,7891129232044,85162900
Jan/2020,LB_GERAL,C1R07AB,C1R07ABBNA,CLIMATIZADOR,CLIMATIZADOR PORTATIL CONSUL BEM ESTAR - QUENTE/FRIO - BRANCO,CONSUL,BRANCO,220V,127V-220V,N/A,7891129232051,85162900
Jan/2020,LB_GERAL,C1R07AT,C1R07ATBNA,CLIMATIZADOR,CLIMATIZADOR PORTATIL CONSUL BEM ESTAR - QUENTE/FRIO - TITÂNIO,CONSUL,TITÂNIO,220V,127V-220V,N/A,7891129232808,85162900
Jan/2020,LB_GERAL,BA790BR,BA790BRRNA,COIFAS,COIFA PAREDE 90 CM BRASTEMP GOURMAND,BRASTEMP,INOX,220V,220V,N/A,7891129207431,84146000
Jan/2020,LB_GERAL,BA890BR,BA890BRRNA,COIFAS,COIFA ILHA 100 CM BRASTEMP GOURMAND,BRASTEMP,INOX,220V,220V,N/A,7891129207615,84146000
Jan/2020,LB_GERAL,BAE90AR,BAE90ARANA,COIFAS,COIFA TBOX PAREDE BRASTEMP 90 CM,BRASTEMP,INOX,127V,127V,N/A,7891129253469,84146000
Jan/2020,LB_GERAL,BAE90AR,BAE90ARBNA,COIFAS,COIFA TBOX PAREDE BRASTEMP 90 CM,BRASTEMP,INOX,220V,220V,N/A,7891129253476,84146000
Jan/2020,LB_GERAL,BAF10AR,BAF10ARANA,COIFAS,COIFA TBOX ILHA BRASTEMP 100 CM,BRASTEMP,INOX,127V,127V,N/A,7891129253483,84146000
Jan/2020,LB_GERAL,BAF10AR,BAF10ARBNA,COIFAS,COIFA TBOX ILHA BRASTEMP 100 CM,BRASTEMP,INOX,220V,220V,N/A,7891129253490,84146000
Jan/2020,LB_GERAL,BAI60BE,BAI60BEANA,COIFAS,COIFA BRASTEMP  PIRAMIDAL PRETA 60 CM,BRASTEMP,PRETA,127V,127V-220V,N/A,7891129219861,84146000
Jan/2020,LB_GERAL,BAI60BE,BAI60BEBNA,COIFAS,COIFA BRASTEMP  PIRAMIDAL PRETA 60 CM,BRASTEMP,PRETA,220V,127V-220V,N/A,7891129219878,84146000
Jan/2020,LB_GERAL,BAI60BR,BAI60BRANA,COIFAS,COIFA BRASTEMP  PIRAMIDAL INOX 60 CM,BRASTEMP,INOX,127V,127V-220V,N/A,7891129219984,84146000
Jan/2020,LB_GERAL,BAI60BR,BAI60BRBNA,COIFAS,COIFA BRASTEMP  PIRAMIDAL INOX 60 CM,BRASTEMP,INOX,220V,127V-220V,N/A,7891129219854,84146000
Jan/2020,LB_GERAL,BAI91BR,BAI91BRANA,COIFAS,COIFA BRASTEMP PIRAMIDAL INOX 90 CM,BRASTEMP,INOX,127V,127V-220V,N/A,7891129224025,84146000
Jan/2020,LB_GERAL,BAI91BR,BAI91BRBNA,COIFAS,COIFA BRASTEMP PIRAMIDAL INOX 90 CM,BRASTEMP,INOX,220V,127V-220V,N/A,7891129224032,84146000
Jan/2020,LB_GERAL,BAP90AR,BAP90ARANA,COIFAS,COIFA VIDRO PLANO PAREDE BRASTEMP 90 CM,BRASTEMP,INOX,127V,127V,N/A,7891129253421,84146000
Jan/2020,LB_GERAL,BAP90AR,BAP90ARBNA,COIFAS,COIFA VIDRO PLANO PAREDE BRASTEMP 90 CM,BRASTEMP,INOX,220V,220V,N/A,7891129253438,84146000
Jan/2020,LB_GERAL,BAV10AR,BAV10ARANA,COIFAS,COIFA VIDRO PLANO ILHA BRASTEMP 100 CM,BRASTEMP,INOX,127V,127V,N/A,7891129253445,84146000
Jan/2020,LB_GERAL,BAV10AR,BAV10ARBNA,COIFAS,COIFA VIDRO PLANO ILHA BRASTEMP 100 CM,BRASTEMP,INOX,220V,220V,N/A,7891129253452,84146000
